Country Name,Country Code,Series,Series Code,1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Thailand,THA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,94.90157,..,..,..,..,95.60024,..,..,..,..,96.43502,..,..,95.25126,..,94.65912,..
Timor-Leste,TLS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,..,..,..,..,..,42.5,..,..,52.959,..,..,..,..,..,..
Timor-Leste,TLS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.3,..,..,..,..,..,58.5,..,..,63.59179,..,..,..,..,..,..
Togo,TGO,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,38.45329,..,..,..,..,..,44.37663,..,..,43.6069,..,47.97739,..,..,..,51.24178,..
Togo,TGO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,68.72574,..,..,..,..,..,70.27027,..,..,71.16635,..,74.05682,..,..,..,77.25943,..
Tokelau,TKL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tokelau,TKL,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tonga,TON,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,98.97555,..,..,..,..,..,..,..,..,..,99.08251,..,..,..,..,99.43422,..,..,..,..,..
Tonga,TON,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,98.83406,..,..,..,..,..,..,..,..,..,98.95388,..,..,..,..,99.3351,..,..,..,..,..
Trinidad and Tobago,TTO,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,95.66179,..,..,..,..,..,..,..,..,..,97.1,..,..,..,..,..,..,..,..,..,98.3,..,..,..,..,..,..
Trinidad and Tobago,TTO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,98.0098,..,..,..,..,..,..,..,..,..,98.75,..,..,..,..,..,..,..,..,..,99.14,..,..,..,..,..,..
Tunisia,TUN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.34786,..,..,68.50938,69.20937,..,71.08821,71.7296,72.16065,..,72.22377,..,..
Tunisia,TUN,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.38509,..,..,86.05368,86.37581,..,87.37573,87.76076,88.47578,..,86.06012,..,..
Turkey,TUR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,68.51966,..,..,..,..,..,..,..,..,..,..,..,..,..,79.58169,80.54895,80.38516,81.26383,..,85.34716,88.07317,90.3101,91.60452,92.13808,92.40182,92.64581,93.56301
Turkey,TUR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,89.84703,..,..,..,..,..,..,..,..,..,..,..,..,..,95.27349,96.00062,95.99562,96.20186,..,96.37771,97.29981,97.93499,98.2629,98.40137,98.49679,98.57562,98.77583
Turkmenistan,TKM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,98.26177,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.6,..,..
Turkmenistan,TKM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,99.32498,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.75,..,..
Turks and Caicos Islands,TCA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,TUV,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,44.82669,..,..,..,..,..,..,..,..,..,..,58.90988,..,..,..,62.07897,..,..,..,64.59145,..,61.97043,..,..,..,..
Uganda,UGA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,68.19809,..,..,..,..,..,..,..,..,..,..,78.30402,..,..,..,81.38859,..,..,..,82.63139,..,79.12304,..,..,..,..
Ukraine,UKR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.17157,..,..,..,..,..,..,..,..,..,..,99.9582,..,..,..,..
Ukraine,UKR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.74343,..,..,..,..,..,..,..,..,..,..,99.99394,..,..,..,..
United Arab Emirates,ARE,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.47475,..,..,..,..,..,..,..,..,..,95.09761,..
United Arab Emirates,ARE,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.4821,..,..,..,..,..,..,..,..,..,92.55616,..
United Kingdom,GBR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Upper middle income,UMC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,69.56139,73.95129,74.72207,75.06941,76.30053,77.00898,77.71138,78.37637,79.11354,79.75749,85.80296,86.36091,86.8347,87.20797,87.73795,88.08584,88.75513,89.15791,89.62979,89.98798,91.19091,91.51102,91.99861,92.23368,92.53473,92.99816,93.08017,93.64112,93.53572,94.10471
Upper middle income,UMC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,85.55591,87.79624,88.16816,88.07013,88.97036,89.35861,89.7262,90.08128,90.45396,90.74803,93.26122,93.4978,93.71929,93.97825,94.22133,94.33643,94.73198,94.89394,95.16043,95.33001,95.83144,95.9881,96.03423,96.08511,96.22138,96.58746,96.6098,96.88986,96.67086,97.15617
Uruguay,URY,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,97.27096,..,..,..,..,..,..,..,..,..,98.08436,98.24193,98.46366,98.53372,98.49095,98.61908,98.66055,98.63643,98.80905,98.86746,98.85032
Uruguay,URY,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,96.24453,..,..,..,..,..,..,..,..,..,97.44478,97.42169,97.83128,97.97242,97.61017,98.02311,98.10397,98.06342,98.02507,98.14592,98.24453
Uzbekistan,UZB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,98.13858,..,..,..,..,..,..,..,..,..,..,..,..,99.99587,99.97599,99.97577,99.97841
Uzbekistan,UZB,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,99.16444,..,..,..,..,..,..,..,..,..,..,..,..,99.99383,99.98519,99.99204,99.99487
Vanuatu,VUT,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,65.6,..,..,..,..,..,..,..,..,..,76.2,..,..,..,..,..,..,..,..,..,83.2,..,..
Vanuatu,VUT,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,71.77,..,..,..,..,..,..,..,..,..,80.48,..,..,..,..,..,..,..,..,..,86.18,..,..
